
episodes 0, frames 0.0M, mean epr 0.00, run loss 0.00
episodes 0, frames 0.0M, mean epr 0.00, run loss 0.00
episodes 0, frames 0.0M, mean epr 0.00, run loss 0.00
episodes 0, frames 0.0M, mean epr 0.00, run loss 0.00
episodes 0, frames 0.0M, mean epr 0.00, run loss 0.00
episodes 0, frames 0.0M, mean epr 0.00, run loss 0.00
episodes 1, frames 0.0M, mean epr 0.00, run loss -5.09
episodes 1, frames 0.0M, mean epr 0.00, run loss -5.09
episodes 3, frames 0.0M, mean epr 0.04, run loss -4.75
episodes 3, frames 0.0M, mean epr 0.04, run loss -4.75
episodes 3, frames 0.0M, mean epr 0.04, run loss -4.75
episodes 9, frames 0.0M, mean epr 0.12, run loss -4.53
episodes 9, frames 0.0M, mean epr 0.12, run loss -4.53
episodes 10, frames 0.0M, mean epr 0.13, run loss -4.40
episodes 11, frames 0.0M, mean epr 0.13, run loss -4.34
episodes 12, frames 0.0M, mean epr 0.15, run loss -3.97
episodes 12, frames 0.0M, mean epr 0.15, run loss -3.97
episodes 12, frames 0.0M, mean epr 0.15, run loss -3.97
episodes 15, frames 0.0M, mean epr 0.19, run loss -4.12
episodes 18, frames 0.0M, mean epr 0.24, run loss -3.98

	0M frames: saved model


	0M frames: saved model

episodes 114, frames 0.0M, mean epr 1.00, run loss 1.67
episodes 115, frames 0.0M, mean epr 0.99, run loss 1.57
episodes 123, frames 0.0M, mean epr 1.04, run loss 2.77
episodes 123, frames 0.0M, mean epr 1.04, run loss 2.77
episodes 128, frames 0.0M, mean epr 1.06, run loss 2.92
episodes 130, frames 0.0M, mean epr 1.05, run loss 2.62
episodes 135, frames 0.0M, mean epr 1.06, run loss 2.17
episodes 135, frames 0.0M, mean epr 1.06, run loss 2.17
episodes 136, frames 0.0M, mean epr 1.07, run loss 2.19

	0M frames: saved model

episodes 136, frames 0.0M, mean epr 1.07, run loss 2.19
episodes 136, frames 0.0M, mean epr 1.07, run loss 2.19
episodes 138, frames 0.0M, mean epr 1.08, run loss 2.56
episodes 138, frames 0.0M, mean epr 1.08, run loss 2.56
episodes 148, frames 0.0M, mean epr 1.07, run loss 2.65
episodes 149, frames 0.0M, mean epr 1.07, run loss 2.87
episodes 153, frames 0.0M, mean epr 1.08, run loss 3.69
episodes 154, frames 0.0M, mean epr 1.11, run loss 3.90
episodes 159, frames 0.0M, mean epr 1.14, run loss 4.50
episodes 167, frames 0.0M, mean epr 1.20, run loss 4.91
episodes 171, frames 0.0M, mean epr 1.22, run loss 4.90

	0M frames: saved model

